Applicant_ID,default_status
Apcnt_1000032,0.30115992228593613
Apcnt_1000048,0.3460579087120017
Apcnt_1000052,0.37236289085759633
Apcnt_1000076,0.7109050454070305
Apcnt_1000080,0.15291381030224008
Apcnt_1000084,0.4028441161906583
Apcnt_1000104,0.36125666121578703
Apcnt_1000116,0.6019624508122942
Apcnt_1000128,0.40120890419335115
Apcnt_1000156,0.3060241394387484
Apcnt_1000192,0.10846192638388312
Apcnt_1000208,0.03290927616407091
Apcnt_1000264,0.6050329909371279
Apcnt_1000288,0.03689330578943567
Apcnt_1000292,0.4528918158814653
Apcnt_1000328,0.6051066921791073
Apcnt_1000336,0.3043864174628088
Apcnt_1000356,0.04785100601955679
Apcnt_1000368,0.12009212186489353
Apcnt_1000372,0.7099332404624962
Apcnt_1000392,0.08021873963533134
Apcnt_1000396,0.07084225662157138
Apcnt_1000400,0.08308410009054332
Apcnt_1000416,0.2959033005619463
Apcnt_1000428,0.025925677488407694
Apcnt_1000440,0.04342784081125963
Apcnt_1000456,0.5334086890996801
Apcnt_1000472,0.05636843562466291
Apcnt_1000488,0.130355508184469
Apcnt_1000492,0.08348414470101323
Apcnt_1000504,0.7058372315860334
Apcnt_1000516,0.2953333445017669
Apcnt_1000532,0.061542726408104056
Apcnt_1000552,0.24443398665995417
Apcnt_1000564,0.4131743717054845
Apcnt_1000576,0.7218505416431954
Apcnt_1000596,0.061864825976097805
Apcnt_1000620,0.09039789317152548
Apcnt_1000624,0.02931976527840009
Apcnt_1000636,0.005174633419736776
Apcnt_1000648,0.024268635049170623
Apcnt_1000668,0.034021930503218216
Apcnt_1000680,0.11739231932165264
Apcnt_1000696,0.053316181563304844
Apcnt_1000704,0.44154896937080723
Apcnt_1000724,0.03800356906114907
Apcnt_1000740,0.2458562551664339
Apcnt_1000744,0.0172565927224195
Apcnt_1000756,0.033430846983212116
Apcnt_1000768,0.005538516236152355
Apcnt_1000784,0.004151654600177462
Apcnt_1000796,0.004830183873728279
Apcnt_1000808,0.0027274421085765233
Apcnt_1000816,0.029603397212830045
Apcnt_1000820,0.004698477092423177
Apcnt_1000824,0.07493680714055613
Apcnt_1000856,0.5770396716204125
Apcnt_1000872,0.5619408117488438
Apcnt_1000880,0.06037266354668561
Apcnt_1000904,0.2682319793535959
Apcnt_1000912,0.6880327026387296
Apcnt_1000920,0.7111356508593258
Apcnt_1000952,0.045738940455972925
Apcnt_1000960,0.12105709124748303
Apcnt_1000964,0.18584238719065516
Apcnt_1000968,0.0063808170607877026
Apcnt_1000976,0.6808013771733775
Apcnt_1000984,0.49177284995619186
Apcnt_1000992,0.2229508908818913
Apcnt_1000996,0.4748399152361892
Apcnt_1001000,0.1623207442775828
Apcnt_1001008,0.08955945897964862
Apcnt_1001028,0.027143910563198898
Apcnt_1001032,0.5805378120798925
Apcnt_1001036,0.7202614713899937
Apcnt_1001040,0.5523892342309621
Apcnt_1001048,0.6397498424127062
Apcnt_1001052,0.025924424145880455
Apcnt_1001068,0.7672241188087294
Apcnt_1001076,0.1434527185965428
Apcnt_1001080,0.18114866085603015
Apcnt_1001092,0.10946057181098694
Apcnt_1001120,0.6588210589838017
Apcnt_1001144,0.6067165353355606
Apcnt_1001148,0.11641310273989425
Apcnt_1001168,0.11626355860017404
Apcnt_1001176,0.7572356986754876
Apcnt_1001200,0.1613608804419683
Apcnt_1001224,0.3664845247116188
Apcnt_1001228,0.5214117066772556
Apcnt_1001236,0.06647909465320068
Apcnt_1001244,0.20233649477643842
Apcnt_1001248,0.00823581291558612
Apcnt_1001256,0.2443026361851473
Apcnt_1001260,0.1977325096291484
Apcnt_1001264,0.010354966388771286
Apcnt_1001288,0.043015719918427196
Apcnt_1001292,0.03433951661252825
Apcnt_1001296,0.06168067294578498
Apcnt_1001304,0.2487373009316701
Apcnt_1001308,0.11633401196451712
Apcnt_1001316,0.11467292160149098
Apcnt_1001320,0.3636943700214018
Apcnt_1001352,0.45488660817992227
Apcnt_1001360,0.3223411284075097
Apcnt_1001376,0.7695088904688139
Apcnt_1001384,0.06786906732041452
Apcnt_1001388,0.5110837862637502
Apcnt_1001400,0.7282047851291844
Apcnt_1001416,0.566749217840409
Apcnt_1001436,0.6525856538733241
Apcnt_1001452,0.3576603614084214
Apcnt_1001456,0.019014193337920787
Apcnt_1001468,0.6496724708161745
Apcnt_1001480,0.13004141698848573
Apcnt_1001488,0.3091096047972658
Apcnt_1001508,0.5046220381292
Apcnt_1001512,0.06894081272308203
Apcnt_1001516,0.5246734557405092
Apcnt_1001528,0.39862688209839425
Apcnt_1001532,0.19399287988221434
Apcnt_1001548,0.00786428292074468
Apcnt_1001552,0.009158704834859869
Apcnt_1001572,0.19082618910301527
Apcnt_1001580,0.012531904004273675
