,Unnamed: 0,id,wm_yr_wk,sell_price,date
0,0,FOODS_1_001_CA_1_validation,11347.0,2.1693617021276657,1387234800.0
1,1,FOODS_1_001_CA_2_validation,11347.0,2.1693617021276657,1387234800.0
2,2,FOODS_1_001_CA_3_validation,11347.0,2.1582624113475237,1387234800.0
3,3,FOODS_1_001_CA_4_validation,11347.0,2.1693617021276657,1387234800.0
4,4,FOODS_1_001_TX_1_validation,11347.0,2.1576241134751837,1387234800.0
5,5,FOODS_1_001_TX_2_validation,11347.0,2.1685106382978785,1387234800.0
6,6,FOODS_1_001_TX_3_validation,11348.0,2.169110320284704,1387839600.0
7,7,FOODS_1_001_WI_1_validation,11347.0,2.1685106382978785,1387234800.0
8,8,FOODS_1_001_WI_2_validation,11347.0,2.1693617021276657,1387234800.0
9,9,FOODS_1_001_WI_3_validation,11347.0,2.1667730496453963,1387234800.0
10,10,FOODS_1_002_CA_1_validation,11347.0,8.937446808510671,1387234800.0
11,11,FOODS_1_002_CA_2_validation,11347.0,8.861560283687977,1387234800.0
12,12,FOODS_1_002_CA_3_validation,11347.0,8.935319148936204,1387234800.0
13,13,FOODS_1_002_CA_4_validation,11347.0,8.940992907801451,1387234800.0
14,14,FOODS_1_002_TX_1_validation,11348.0,8.927615658363024,1387839600.0
15,15,FOODS_1_002_TX_2_validation,11347.0,8.938865248226985,1387234800.0
16,16,FOODS_1_002_TX_3_validation,11347.0,8.935319148936204,1387234800.0
17,17,FOODS_1_002_WI_1_validation,11347.0,8.937446808510671,1387234800.0
18,18,FOODS_1_002_WI_2_validation,11347.0,8.988510638297905,1387234800.0
19,19,FOODS_1_002_WI_3_validation,11347.0,8.936028368794359,1387234800.0
20,20,FOODS_1_003_CA_1_validation,11347.0,2.9768085106382998,1387234800.0
21,21,FOODS_1_003_CA_2_validation,11347.0,2.9768085106382998,1387234800.0
22,22,FOODS_1_003_CA_3_validation,11347.0,2.9755673758865266,1387234800.0
23,23,FOODS_1_003_CA_4_validation,11347.0,2.9755673758865266,1387234800.0
24,24,FOODS_1_003_TX_1_validation,11347.0,2.9742198581560304,1387234800.0
25,25,FOODS_1_003_TX_2_validation,11347.0,2.9755673758865266,1387234800.0
26,26,FOODS_1_003_TX_3_validation,11347.0,2.969361702127661,1387234800.0
27,27,FOODS_1_003_WI_1_validation,11347.0,2.9768085106382998,1387234800.0
28,28,FOODS_1_003_WI_2_validation,11347.0,2.974326241134754,1387234800.0
29,29,FOODS_1_003_WI_3_validation,11347.0,2.9768085106382998,1387234800.0
30,30,FOODS_1_004_CA_1_validation,11402.0,1.851377777777772,1392073200.0
31,31,FOODS_1_004_CA_2_validation,11402.0,1.8521777777777717,1392073200.0
32,32,FOODS_1_004_CA_3_validation,11402.0,1.8268444444444392,1392073200.0
33,33,FOODS_1_004_CA_4_validation,11402.0,1.851377777777772,1392073200.0
34,34,FOODS_1_004_TX_1_validation,11402.0,1.8509333333333269,1392073200.0
35,35,FOODS_1_004_TX_2_validation,11402.0,1.850133333333327,1392073200.0
36,36,FOODS_1_004_TX_3_validation,11402.0,1.851377777777772,1392073200.0
37,37,FOODS_1_004_WI_1_validation,11402.0,1.851377777777772,1392073200.0
38,38,FOODS_1_004_WI_2_validation,11402.0,1.850133333333327,1392073200.0
39,39,FOODS_1_004_WI_3_validation,11402.0,1.850577777777772,1392073200.0
40,40,FOODS_1_005_CA_1_validation,11347.0,3.3344680851063595,1387234800.0
41,41,FOODS_1_005_CA_2_validation,11347.0,3.3332624113474947,1387234800.0
42,42,FOODS_1_005_CA_3_validation,11347.0,3.271737588652463,1387234800.0
43,43,FOODS_1_005_CA_4_validation,11347.0,3.3322695035460765,1387234800.0
44,44,FOODS_1_005_TX_1_validation,11347.0,3.327765957446786,1387234800.0
45,45,FOODS_1_005_TX_2_validation,11347.0,3.32319148936168,1387234800.0
46,46,FOODS_1_005_TX_3_validation,11347.0,3.3344680851063595,1387234800.0
47,47,FOODS_1_005_WI_1_validation,11347.0,3.3344680851063595,1387234800.0
48,48,FOODS_1_005_WI_2_validation,11347.0,3.364397163120544,1387234800.0
49,49,FOODS_1_005_WI_3_validation,11350.0,3.3377777777777555,1389049200.0
50,50,FOODS_1_006_CA_1_validation,11347.0,2.2230851063829857,1387234800.0
51,51,FOODS_1_006_CA_2_validation,11347.0,2.222127659574475,1387234800.0
52,52,FOODS_1_006_CA_3_validation,11347.0,2.222127659574475,1387234800.0
53,53,FOODS_1_006_CA_4_validation,11347.0,2.2204255319149007,1387234800.0
54,54,FOODS_1_006_TX_1_validation,11347.0,2.2212765957446874,1387234800.0
55,55,FOODS_1_006_TX_2_validation,11347.0,2.2230851063829857,1387234800.0
56,56,FOODS_1_006_TX_3_validation,11347.0,2.221950354609937,1387234800.0
57,57,FOODS_1_006_WI_1_validation,11347.0,2.222021276595752,1387234800.0
58,58,FOODS_1_006_WI_2_validation,11347.0,2.2230851063829857,1387234800.0
59,59,FOODS_1_006_WI_3_validation,11347.0,2.222127659574475,1387234800.0
60,60,FOODS_1_008_CA_1_validation,,,
61,61,FOODS_1_008_CA_2_validation,,,
62,62,FOODS_1_008_CA_3_validation,11422.0,3.3333990147783195,1404169200.0
63,63,FOODS_1_008_CA_4_validation,,,
64,64,FOODS_1_008_TX_1_validation,,,
65,65,FOODS_1_008_TX_2_validation,,,
66,66,FOODS_1_008_TX_3_validation,11405.0,3.319004524886865,1393887600.0
67,67,FOODS_1_008_WI_1_validation,,,
68,68,FOODS_1_008_WI_2_validation,,,
69,69,FOODS_1_008_WI_3_validation,,,
70,70,FOODS_1_009_CA_1_validation,11402.0,2.397511111111116,1392073200.0
71,71,FOODS_1_009_CA_2_validation,11402.0,2.3992000000000044,1392073200.0
72,72,FOODS_1_009_CA_3_validation,11402.0,2.320400000000006,1392073200.0
73,73,FOODS_1_009_CA_4_validation,11402.0,2.399911111111116,1392073200.0
74,74,FOODS_1_009_TX_1_validation,11403.0,2.380000000000005,1392678000.0
75,75,FOODS_1_009_TX_2_validation,11403.0,2.380941704035879,1392678000.0
76,76,FOODS_1_009_TX_3_validation,11403.0,2.392500000000005,1392678000.0
77,77,FOODS_1_009_WI_1_validation,11403.0,2.3949107142857184,1392678000.0
78,78,FOODS_1_009_WI_2_validation,11403.0,2.4200000000000057,1392678000.0
79,79,FOODS_1_009_WI_3_validation,11403.0,2.3984753363228752,1392678000.0
80,80,FOODS_1_010_CA_1_validation,11412.0,5.374460093896714,1398121200.0
81,81,FOODS_1_010_CA_2_validation,,,
82,82,FOODS_1_010_CA_3_validation,,,
83,83,FOODS_1_010_CA_4_validation,,,
84,84,FOODS_1_010_TX_1_validation,,,
85,85,FOODS_1_010_TX_2_validation,,,
86,86,FOODS_1_010_TX_3_validation,,,
87,87,FOODS_1_010_WI_1_validation,11417.0,6.9724999999999975,1401145200.0
88,88,FOODS_1_010_WI_2_validation,11417.0,6.9736057692307725,1401145200.0
89,89,FOODS_1_010_WI_3_validation,,,
90,90,FOODS_1_011_CA_1_validation,11347.0,2.5209574468085023,1387234800.0
91,91,FOODS_1_011_CA_2_validation,,,
92,92,FOODS_1_011_CA_3_validation,11347.0,2.4819503546099235,1387234800.0
93,93,FOODS_1_011_CA_4_validation,11347.0,2.521843971631197,1387234800.0
94,94,FOODS_1_011_TX_1_validation,11347.0,2.5172695035460912,1387234800.0
95,95,FOODS_1_011_TX_2_validation,11347.0,2.5195390070921904,1387234800.0
96,96,FOODS_1_011_TX_3_validation,11349.0,2.5221428571428492,1388444400.0
97,97,FOODS_1_011_WI_1_validation,,,
98,98,FOODS_1_011_WI_2_validation,11347.0,2.5202482269503466,1387234800.0
99,99,FOODS_1_011_WI_3_validation,11347.0,2.5161702127659495,1387234800.0
100,100,FOODS_1_012_CA_1_validation,,,
