,id,wm_yr_wk,sell_price
0,FOODS_1_001_CA_1_validation,11347,2.169361702127666
1,FOODS_1_001_CA_2_validation,11347,2.169361702127666
2,FOODS_1_001_CA_3_validation,11347,2.1582624113475237
3,FOODS_1_001_CA_4_validation,11347,2.169361702127666
4,FOODS_1_001_TX_1_validation,11347,2.1576241134751837
5,FOODS_1_001_TX_2_validation,11347,2.168510638297879
6,FOODS_1_001_TX_3_validation,11348,2.169110320284704
7,FOODS_1_001_WI_1_validation,11347,2.168510638297879
8,FOODS_1_001_WI_2_validation,11347,2.169361702127666
9,FOODS_1_001_WI_3_validation,11347,2.1667730496453963
10,FOODS_1_002_CA_1_validation,11347,8.937446808510671
11,FOODS_1_002_CA_2_validation,11347,8.861560283687975
12,FOODS_1_002_CA_3_validation,11347,8.935319148936204
13,FOODS_1_002_CA_4_validation,11347,8.940992907801451
14,FOODS_1_002_TX_1_validation,11348,8.927615658363022
15,FOODS_1_002_TX_2_validation,11347,8.938865248226984
16,FOODS_1_002_TX_3_validation,11347,8.935319148936204
17,FOODS_1_002_WI_1_validation,11347,8.937446808510671
18,FOODS_1_002_WI_2_validation,11347,8.988510638297905
19,FOODS_1_002_WI_3_validation,11347,8.936028368794359
20,FOODS_1_003_CA_1_validation,11347,2.9768085106383
21,FOODS_1_003_CA_2_validation,11347,2.9768085106383
22,FOODS_1_003_CA_3_validation,11347,2.975567375886527
23,FOODS_1_003_CA_4_validation,11347,2.975567375886527
24,FOODS_1_003_TX_1_validation,11347,2.974219858156031
25,FOODS_1_003_TX_2_validation,11347,2.975567375886527
26,FOODS_1_003_TX_3_validation,11347,2.9693617021276615
27,FOODS_1_003_WI_1_validation,11347,2.9768085106383
28,FOODS_1_003_WI_2_validation,11347,2.974326241134754
29,FOODS_1_003_WI_3_validation,11347,2.9768085106383
30,FOODS_1_004_CA_1_validation,11402,1.8513777777777716
31,FOODS_1_004_CA_2_validation,11402,1.8521777777777713
32,FOODS_1_004_CA_3_validation,11402,1.8268444444444392
33,FOODS_1_004_CA_4_validation,11402,1.8513777777777716
34,FOODS_1_004_TX_1_validation,11402,1.8509333333333269
35,FOODS_1_004_TX_2_validation,11402,1.850133333333327
36,FOODS_1_004_TX_3_validation,11402,1.8513777777777716
37,FOODS_1_004_WI_1_validation,11402,1.8513777777777716
38,FOODS_1_004_WI_2_validation,11402,1.850133333333327
39,FOODS_1_004_WI_3_validation,11402,1.8505777777777714
40,FOODS_1_005_CA_1_validation,11347,3.3344680851063604
41,FOODS_1_005_CA_2_validation,11347,3.333262411347495
42,FOODS_1_005_CA_3_validation,11347,3.2717375886524627
43,FOODS_1_005_CA_4_validation,11347,3.332269503546077
44,FOODS_1_005_TX_1_validation,11347,3.327765957446786
45,FOODS_1_005_TX_2_validation,11347,3.32319148936168
46,FOODS_1_005_TX_3_validation,11347,3.3344680851063604
47,FOODS_1_005_WI_1_validation,11347,3.3344680851063604
48,FOODS_1_005_WI_2_validation,11347,3.364397163120545
49,FOODS_1_005_WI_3_validation,11350,3.3377777777777555
50,FOODS_1_006_CA_1_validation,11347,2.2230851063829857
51,FOODS_1_006_CA_2_validation,11347,2.2221276595744754
52,FOODS_1_006_CA_3_validation,11347,2.2221276595744754
53,FOODS_1_006_CA_4_validation,11347,2.2204255319149007
54,FOODS_1_006_TX_1_validation,11347,2.221276595744688
55,FOODS_1_006_TX_2_validation,11347,2.2230851063829857
56,FOODS_1_006_TX_3_validation,11347,2.2219503546099366
57,FOODS_1_006_WI_1_validation,11347,2.222021276595752
58,FOODS_1_006_WI_2_validation,11347,2.2230851063829857
59,FOODS_1_006_WI_3_validation,11347,2.2221276595744754
60,FOODS_1_008_CA_1_validation,11382,3.382938775510184
61,FOODS_1_008_CA_2_validation,11397,3.3568695652173712
62,FOODS_1_008_CA_3_validation,11422,3.33339901477832
63,FOODS_1_008_CA_4_validation,11382,3.3459591836734517
64,FOODS_1_008_TX_1_validation,11385,3.3457851239669236
65,FOODS_1_008_TX_2_validation,11399,3.3894736842105107
66,FOODS_1_008_TX_3_validation,11405,3.3190045248868656
67,FOODS_1_008_WI_1_validation,11383,3.3505737704917853
68,FOODS_1_008_WI_2_validation,11386,3.347053941908696
69,FOODS_1_008_WI_3_validation,11395,3.3525862068965355
70,FOODS_1_009_CA_1_validation,11402,2.397511111111116
71,FOODS_1_009_CA_2_validation,11402,2.399200000000005
72,FOODS_1_009_CA_3_validation,11402,2.3204000000000056
73,FOODS_1_009_CA_4_validation,11402,2.3999111111111158
74,FOODS_1_009_TX_1_validation,11403,2.380000000000005
75,FOODS_1_009_TX_2_validation,11403,2.380941704035879
76,FOODS_1_009_TX_3_validation,11403,2.3925000000000045
77,FOODS_1_009_WI_1_validation,11403,2.394910714285719
78,FOODS_1_009_WI_2_validation,11403,2.420000000000006
79,FOODS_1_009_WI_3_validation,11403,2.398475336322875
